"행정구역(시군구)별",2016,2016,2017,2017,2018,2018,2019,2019,2020,2020,2021,2021
"행정구역(시군구)별",총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명)
"전국",7378430,7378430,7154226,7154226,7297099,7297099,7104398,7104398,7735491,7735491,7213422,7213422
"서울특별시",1515602,1655859,1472937,1571423,1439707,1549937,1426493,1476081,1578127,1642977,1418187,1524430
"종로구",23604,26386,28020,25814,23187,24798,22271,23945,23632,25254,22204,24428
"중구",20595,21655,20904,20574,20771,20873,19623,19384,20777,21733,19917,21126
"용산구",34124,38615,35154,36622,37339,37801,35099,35673,40282,38985,36011,39572
"성동구",47629,46986,50416,46031,51358,49012,39922,48102,45153,53096,39831,46075
"광진구",55362,60446,56010,56647,55728,58774,52191,57088,55926,60703,51522,56750
"동대문구",49591,55622,47899,52733,54899,57605,51660,53660,54908,58135,48955,51031
"중랑구",60566,64823,56385,59947,54168,59616,49446,55932,60214,62212,52867,57957
"성북구",60000,70396,61285,68221,57147,65477,67841,61169,62953,68231,59054,62394
"강북구",44791,48947,42231,44809,40941,45800,38046,42622,41625,46656,37057,42961
"도봉구",44836,48607,40965,45260,39518,44213,35445,41225,40435,47892,36895,42682
"노원구",72249,81176,64406,78488,61867,72748,57183,68095,68176,77707,58736,68473
"은평구",74864,82925,68402,73637,67489,71519,69399,72721,76364,76165,63269,66951
"서대문구",55152,54236,48534,50286,45861,48484,45729,46677,56504,53579,42484,47061
"마포구",62642,72793,57490,63689,60227,61071,57766,59573,66215,68667,61543,62124
"양천구",65385,74404,54797,62729,54579,62414,50256,56733,64081,68021,54952,60442
"강서구",95852,93011,90217,86483,83699,90281,78518,85057,87198,99573,87269,91368
"구로구",54368,61558,50077,58672,51108,58543,54791,53666,60885,64024,48170,54880
"금천구",34870,36528,34230,34907,33794,35508,32416,33728,35753,36963,35663,35047
"영등포구",61308,71785,62622,66039,59862,62108,56874,58253,79309,68526,60565,61108
"동작구",66425,68243,60949,66978,65099,66105,61168,62047,64496,69650,64257,68311
"관악구",91198,96179,90303,94943,94403,96477,93583,95788,98301,103226,89756,95711
"서초구",71136,74319,68680,76574,74658,83489,63335,67634,71250,77669,70064,81777
"강남구",95358,108949,90474,103367,91611,106802,95557,93716,95325,101582,94082,98106
"송파구",105735,112735,110872,107154,101060,101486,123273,116301,106928,116457,105181,113651
"강동구",67962,84535,81615,90819,59334,68933,75101,67292,101437,78271,77883,74444
"부산광역시",459015,480407,439073,467471,416095,442854,411704,435058,491829,506176,441323,460226
"중  구",6452,6941,6027,6822,5478,6731,5828,6419,6566,6665,6908,6763
"서  구",13496,16167,12972,15328,16186,15086,11958,13651,16174,15589,14238,15200
"동  구",10612,12551,12019,12533,10862,12324,13689,11943,14837,13607,13295,13446
"영도구",12510,15112,11906,14155,10552,13248,9592,12166,10490,12969,14352,14921
"부산진구",50944,56501,53155,57843,44490,53471,46702,50521,59819,56796,49987,53627
"동래구",39076,39675,35424,37435,31850,35760,39555,34637,40780,41028,33821,36453
"남  구",32983,37496,29975,34793,46763,40274,35381,40375,37433,43376,31355,35204
"북  구",38136,39395,30705,38503,27104,33288,27861,33526,29907,36662,36618,36261
"해운대구",55160,59074,46007,54021,47906,50386,47756,50816,60260,63938,50233,54217
"사하구",38685,42598,39469,40768,32267,37576,31231,37550,33190,41581,35867,39479
"금정구",33858,35188,34429,34318,30725,31691,27182,30506,31899,37151,30662,33346
"강서구",25947,12788,22265,14989,20401,15915,23257,17585,28672,21036,22639,18020
"연제구",27647,31557,30532,31165,27326,26286,29288,27753,33468,33450,28923,29760
"수영구",29207,30058,30395,29806,24994,28620,27716,27581,34584,33405,28487,29358
"사상구",22873,28151,23866,27505,20553,26341,19317,24229,21072,25928,21763,24812
"기장군",21429,17155,19927,17487,18638,15857,15391,15800,32678,22995,22175,19359
"대구광역시",328228,337488,321182,333118,321158,335400,312419,336092,347248,364083,304761,329080
"중  구",12402,13814,13409,14106,15523,15072,12742,14667,14941,15641,13694,14956
"동  구",47440,46500,41816,44043,51504,49531,41943,47632,49790,52665,49235,48093
"서  구",21066,27438,20226,27213,21239,28099,20700,29032,20740,24344,17417,21955
"남  구",22458,26739,21538,24714,23234,25017,23676,25476,25285,25897,21898,23756
"북  구",51423,55676,58053,57893,52638,55143,53974,55990,64203,61656,57793,59846
"수성구",55210,60463,54386,62072,56710,62664,57260,60864,63828,67298,54490,60153
"달서구",66788,79627,62346,77277,68100,73178,68705,73429,74041,83810,56756,69403
"달성군",51441,27231,49408,25800,32210,26696,33419,29002,34420,32772,33478,30918
"인천광역시",441646,435869,409465,411135,433639,433706,420014,422351,444556,460304,433137,421714
"중  구",19636,19253,19646,17041,23832,19410,34270,21862,26647,22189,28872,24484
"동  구",8408,10020,6903,8299,7226,10358,6162,7821,7011,8611,8673,8856
"남  구",78667,67374,63466,61913,38850,39238,0,0,0,0,0,0
"미추홀구",-,-,-,-,28470,31057,55630,63322,64320,68529,66407,61554
"연수구",57082,49071,51355,46141,57133,47209,72687,53842,84639,64941,56814,55382
"남동구",73914,76925,78320,74424,75551,76440,71496,76963,74074,81724,65951,72099
"부평구",76291,84694,68894,80128,60467,77002,60149,73732,62004,78593,64332,70782
"계양구",40900,46133,37692,44840,32572,44177,31919,41327,35187,41671,41422,41720
"서구",75515,72441,71754,68490,98718,78225,77233,73349,79311,83273,89053,76452
"강화군",7495,6666,7821,6539,7778,7102,7411,6681,8121,7531,8429,7204
"옹진군",3738,3292,3614,3320,3042,3488,3057,3452,3242,3242,3184,3181
"광주광역시",213176,221074,208138,216256,218892,225108,217130,221005,226163,232246,212888,218771
"동  구",15175,17985,16326,16366,17552,18265,22500,18129,21831,17236,19455,18171
"서  구",51723,48104,42800,45921,44753,47806,42669,45979,43395,47637,41115,45787
"남  구",31059,32940,31213,32431,30999,32974,36433,34587,30491,33589,35389,33421
"북  구",58693,65303,62317,65293,69768,69290,60085,66587,68148,71019,61591,64280
"광산구",56526,56742,55482,56245,55820,56773,55443,55723,62298,62765,55338,57112
"대전광역시",219252,229883,211449,227624,212879,227632,212424,228766,232321,243418,211565,220496
"동  구",30728,35642,28810,33240,34055,35211,32115,33892,33434,36557,33423,32612
"중  구",31226,35237,30846,34426,31395,35629,31052,34545,32777,36979,29161,33082
"서  구",75485,77665,70654,75755,71427,75324,73866,78258,77480,81315,70514,74866
"유성구",60815,55672,59618,56685,56849,57312,56718,58623,61454,61016,56430,57074
"대덕구",20998,25667,21521,27518,19153,24156,18673,23448,27176,27551,22037,22862
"울산광역시",148190,155812,135199,147116,127922,140576,142056,152228,136112,149696,129880,143554
"중구",28059,31136,27048,31695,21487,28537,23477,31948,23690,29529,23508,27448
"남구",45018,49528,39769,46272,38739,44157,39741,47204,47467,51525,40642,46692
"동구",27660,29527,18090,24018,15915,21598,14973,20420,16350,19402,15570,18099
"북구",24755,22063,26230,22079,27139,22569,37258,27181,25201,25139,26145,27168
"울주군",22698,23558,24062,23052,24642,23715,26607,25475,23404,24101,24015,24147
"세종특별자치시",65052,35236,82073,47383,86433,55000,82398,58674,78934,65909,76912,62827
"세종특별자치시",65052,35236,82073,47383,86433,55000,82398,58674,78934,65909,76912,62827
"경기도",1958593,1824976,1888324,1772162,2041715,1871621,1940962,1806296,2152572,1984199,2036215,1885698
"수원시",172210,169975,177059,173747,187806,193564,173336,184404,168204,179518,183258,185355
"성남시",174390,176472,157557,168067,136911,152445,126568,139949,152795,156393,143716,150568
"의정부시",65844,62476,66965,64319,66382,61214,64399,59680,78645,68714,64152,59837
"안양시",96112,99367,84779,96305,73467,86366,72368,83715,79982,97945,87149,89564
"부천시",125460,126617,114426,118129,113508,122125,88659,103907,95110,107685,83726,94631
"광명시",41712,48965,43201,50901,45172,51980,38523,49361,46812,65102,38155,43233
"평택시",75179,67162,76783,67836,87850,75069,93713,77676,103098,80080,115345,86968
"동두천시",16074,15868,13422,14439,13118,13687,11891,13044,13345,13385,14191,13650
"안산시",93537,104617,78735,92991,85590,104222,86724,97273,117075,114020,88573,90721
"고양시",158904,150716,139002,139122,144703,143834,165154,144065,171708,159355,149815,148549
"과천시",10957,16526,8304,14645,9496,8919,7869,7763,15066,10277,21901,11814
"구리시",34966,28671,31572,25783,32065,29009,23107,27748,29851,31794,24380,29445
"남양주시",81347,75412,73470,71846,95555,80025,96451,77180,93021,81925,105754,84570
"오산시",27623,27507,32136,28682,38577,33151,37051,31725,34691,32145,30911,31029
"시흥시",56984,54250,69581,54292,87150,59962,85404,62348,98504,73126,73957,64419
"군포시",35230,39955,31552,36493,34479,39776,35183,37126,37273,39844,31293,36433
"의왕시",19970,21604,18850,20146,16536,18640,29540,22595,29486,27047,20685,21075
"하남시",77934,34401,52288,31888,60225,39252,55899,38913,63586,43486,75433,49193
"용인시",148258,138274,142704,133151,177079,148795,163901,140937,167745,155052,156128,153330
"파주시",60355,54888,59087,53354,72642,59695,55949,54574,75882,64593,79477,60852
"이천시",33122,28556,30655,28461,28630,27972,31401,30022,31253,28787,37284,31953
"안성시",29465,27087,22616,22780,28572,27670,25597,25663,27891,23902,28351,24992
"김포시",58788,47722,80188,53239,84845,55516,63503,51113,111331,76160,72655,61387
"화성시",120293,81257,129735,84522,170212,107604,168445,116607,155727,119562,153361,124882
"양주시",26149,26394,33540,27255,32293,27629,33309,27974,38466,30278,34428,27844
"광주시",53804,40652,56822,40232,58486,42087,50192,42534,54712,46135,56359,51263
"포천시",18181,18538,18547,20065,18647,20543,16391,18199,17883,18315,20818,17903
"여주시",14642,14104,14162,13464,13429,13588,13171,13318,14113,12939,14527,13448
"양주군",0,0,0,0,0,0,0,0,0,0,0,0
"여주군",0,0,0,0,0,0,0,0,0,0,0,0
"화성군",0,0,0,0,0,0,0,0,0,0,0,0
