시점,행정구역(시군구)별,성별,계,20 - 24세,25 - 29세,30 - 34세,35 - 39세,65 - 69세,70 - 74세,75 - 79세,80세 이상,80 - 84세,85세 이상,85 - 89세,90 - 94세,95 - 99세,100세 이상
2021,전국,계,51333252.5,3175015,3529975,3162503.5,3590685.5,2881870,2075136.5,1597970,2022853.5,1163257.5,859596,603274.5,205711,44029,6581.5
2021,전국,여자,25744150.5,1520708.5,1665041.5,1515957,1753789.5,1490906.5,1104706.5,909528,1343569.5,723885.5,619684,419029,159253.5,35840,5561.5
2021,서울특별시,계,9453878,613102.5,819668.5,725415,718262.5,535174,392366.5,293549.5,319793.5,189601,130192.5,90257.5,31768.5,7074.5,1092
2021,서울특별시,여자,4860124,321343,419394.5,363209.5,358714.5,284667,211888,161783,200762,111090,89672,59591,23666.5,5538,876.5
2021,종로구,계,142767,10138,12777,10079.5,9334.5,8217.5,6154.5,5312,6652,3857.5,2794.5,1903,687.5,178.5,25.5
2021,종로구,여자,73381,5466,6286.5,5008.5,4733,4161,3341.5,3029,4080,2270,1810,1179,491,122,18
2021,중구,계,120430.5,7453,10855,10133,9599,7434,5538.5,4506,5391.5,3082,2309.5,1564.5,600.5,128,16.5
2021,중구,여자,61692,4060.5,5641.5,5104.5,4782,3781,2950,2559,3499,1881.5,1617.5,1075.5,435.5,95.5,11
2021,용산구,계,218385.5,13372.5,19392.5,19090.5,18157.5,11517.5,8474.5,6996.5,9182,5247.5,3934.5,2691.5,978.5,229.5,35
2021,용산구,여자,112961,7135,10116,9590.5,9131.5,6012,4643,4055.5,5901.5,3218.5,2683,1780,711.5,163,28.5
2021,성동구,계,285433,18971.5,25038.5,23300.5,24135.5,15018,11061.5,8808.5,9658,5846.5,3811.5,2708.5,888,183,32
2021,성동구,여자,146219.5,9837.5,12449.5,12131,11983.5,7886,6011,5012,6177,3553,2624,1800.5,661,138.5,24
2021,광진구,계,338990.5,25465.5,36556.5,29111,25785.5,17790.5,12406.5,9354.5,10184.5,6184.5,4000,2802.5,940,218.5,39
2021,광진구,여자,175473,13911.5,19052,14672,13019.5,9361,6682,5085.5,6323.5,3571,2752.5,1871.5,682.5,169.5,29
